Following Athlete ID,Follow Status,Created At
19353884,Accepted,"Jan 14, 2017, 11:07:24 AM"
16605502,Accepted,"Oct 29, 2017, 6:00:15 PM"
16620986,Accepted,"Feb 9, 2020, 10:05:21 AM"
19060032,Accepted,"Feb 9, 2020, 10:05:21 AM"
50988057,Accepted,"Feb 9, 2020, 11:40:46 AM"
12037853,Accepted,"Feb 10, 2020, 2:47:14 PM"
33675628,Accepted,"Feb 16, 2020, 6:20:48 AM"
87013020,Accepted,"Apr 24, 2024, 8:42:51 AM"
133136800,Accepted,"May 5, 2024, 4:46:15 PM"
76530166,Accepted,"May 14, 2024, 12:28:15 AM"
132663317,Accepted,"May 14, 2024, 12:28:48 AM"
132755100,Accepted,"Jun 26, 2024, 3:29:00 PM"
142084291,Accepted,"Jul 12, 2024, 12:56:23 AM"
18952865,Accepted,"Jul 14, 2024, 2:41:32 AM"
86396921,Accepted,"Jul 14, 2024, 2:41:46 AM"
6021015,Accepted,"Jul 14, 2024, 2:41:52 AM"
72321174,Accepted,"Jul 27, 2024, 3:45:50 AM"
48550424,Accepted,"Jul 30, 2024, 9:17:20 AM"
